
Catalog of Globular Cluster Systems in Galaxies

This version:  January 2013

********************************************************************************

                        COPYRIGHT NOTICE!

        THE DATA IN THIS CATALOG ARE SUPPLIED FREE OF CHARGE TO
ALL USERS.  ANY THIRD PARTY WHO SUPPLIES THIS CATALOG IN TURN TO
OTHER USERS MUST REFER TO THE ORIGINAL SOURCE, WHICH IS THIS WEBSITE,
AND MUST DO SO WITHOUT CHARGE OF ANY FEE.

*******************************************************************************

Please acknowledge the use of this catalog in any published work
you derive from it.  The proper citation is the original paper,

	Harris, W.E., Harris, G.L.H, and Alessi, M. 2013, ApJ 772, 82.

 	Explanation of table by column:
1,2:  Galaxy identification
3,4:  Galaxy right ascension (decimal hours) and declination (decimal degrees)
5:     Morphological type
6,7,8:  Galaxy distance, uncertainty, and distance estimation method adopted
9,10,11:  Foreground extinction, absolute visual magnitude, and estimated uncertainty
12,13:  Absolute K-band magnitude (near infrared) and uncertainty
14,15,16:  Estimated total number of globular clusters in the galaxy, uncertainty, and literature source (see reference list following the table)
17,18:  Velocity dispersion of the central bulge of the galaxy, and uncertainty
19,20:  Effective radius enclosing half the galaxy light, and uncertainty
21,22:  "Dynamical mass" of galaxy, defined as  (4 R_e sig_e^2 / G), and uncertainty
23,24:  Calculated total mass in the globular cluster system, and uncertainty
25,26,27:  Mass of central black hole in the galaxy, and upper and lower uncertainties


 Galaxy      Other ID                RA         DEC      Type       D       +-     Method        A_V     M_V^T    +-     M_K      +-       N(GC)     +-    Source      sig_e    +-       R_e     +-    lg M_d     +-     lg M_G    +-    lg M_B    +      -
                                     hr         deg                Mpc                                                                                                 km/s              kpc            M_sun             M_sun           M_sun

MilkyWay         nid                 nd          nd       Sbc       nd      nd    geometry      0.000  -21.300   0.300   nd       nd       160.0    10.0   44         105.00   20.00    0.70    0.10    9.856    0.116    7.66    0.03    6.61    0.04    0.04
VCC-646        nid               12.3921200   17.7946000  dE3     16.00    2.00   Virgo         0.082  -12.900   0.200   nd       nd         5.3     4.6   67           nd      nd      nd      nd      nd       nd       5.83    0.27    nd      nd      nd  
NGC4340        VCC-654           12.3931399   16.7224629  IB      16.00    2.00   TF            0.072  -17.560   0.430 -22.707   0.102      45.0    16.0   77         116.30    3.00    2.75    0.40   10.540    0.061    6.91    0.13    nd      nd      nd  
NGC4350        VCC-685           12.3993938   16.6934705  S0      15.50    0.78   GCLF          0.093  -20.050   0.200 -23.147   0.100     196.0    60.0   77         180.50    7.20    2.05    0.10   10.793    0.031    7.68    0.12    8.74    0.10    0.10
NGC4352        VCC-698           12.4013879   11.2180617  S0      18.64    0.10   SBF           0.084  -18.860   0.200 -21.495   0.110     114.0    12.0   77          69.80    5.90    2.00    0.01    9.957    0.049    7.38    0.04    nd      nd      nd  
NGC4365        VCC-731           12.4078472    7.3175759  E3      23.33    0.65   SBF           0.070  -22.350   0.200 -25.207   0.104    3246.0   598.0   77         256.10    3.40    7.83    0.22   11.679    0.014    9.03    0.07    nd      nd      nd  
VCC-747        nid               12.4132726    8.9915323  dE0N    18.50    2.10   Hubble        0.059  -15.470   0.200   nd       nd        16.4     5.7   67           nd      nd      nd      nd      nd       nd       6.38    0.13    nd      nd      nd  
IC3292         VCC-751           12.4134315   18.1950949  S0-a    15.79    0.58   SBF           0.091  -16.970   0.200 -19.173   0.120       9.2     4.3   77           nd      nd      0.99    0.10    nd       nd       6.19    0.17    nd      nd      nd  
NGC4371        VCC-759           12.4153949   11.7042761  SB0     16.98    0.48   SBF           0.122  -20.460   0.200 -23.445   0.103     200.0    41.0   77         137.10    2.60    2.77    0.08   10.684    0.017    7.71    0.08    nd      nd      nd  
NGC4374        VCC-763/M84       12.4176847   12.8870714  E1      18.51    0.61   SBF           0.134  -22.360   0.200 -25.130   0.103    4301.0  1201.0   77         296.00   14.00    5.46    0.18   11.648    0.031    9.15    0.11    8.96    0.05    0.04
NGC4377        VCC-778           12.4200851   14.7622825  S0      17.67    0.59   SBF           0.120  -19.480   0.200 -22.420   0.101      74.0    32.0   77         144.10    9.80    0.97    0.03   10.272    0.042    7.22    0.16    nd      nd      nd  
NGC4379        VCC-784           12.4207540   15.6074246  S0      15.88    0.52   SBF           0.077  -19.360   0.200 -22.248   0.102      50.0    14.0   77         115.90    4.80    1.18    0.04   10.167    0.028    7.04    0.11    nd      nd      nd  
NGC4382        VCC-798/M85       12.4233458   18.1907561  S0      17.88    0.56   SBF           0.103  -22.250   0.200 -25.128   0.102    1110.0   181.0   77         178.70    5.00    7.48    0.23   11.347    0.021    8.56    0.07    0.00    7.81    0.00
NGC4387        VCC-828           12.4282469   12.8104541  E       18.00    0.62   SBF           0.110  -19.270   0.200 -22.135   0.102      69.5     9.8   77         105.00    2.50    1.27    0.04   10.115    0.020    7.18    0.06    nd      nd      nd  
IC3328         VCC-856           12.4327420   10.0537409  E       16.85    0.60   SBF           0.067  -17.570   0.200 -19.837   0.159      43.4     7.9   77          33.60    1.70    1.29    0.05    9.131    0.033    6.89    0.07    nd      nd      nd  
VCC-871        nid               12.4349003   12.5596651  dE4N    16.00    2.00   Virgo         0.090  -16.360   0.200   nd       nd        18.2     5.8   67           nd      nd      1.42    0.17    nd       nd       6.46    0.12    nd      nd      nd  
NGC4406        VCC-881/M86       12.4365983   12.9461081  E3      17.09    0.52   SBF           0.098  -22.360   0.200 -25.071   0.104    2800.0   200.0   77         234.80    3.10   12.69    0.39   11.814    0.015    8.97    0.03    nd      nd      nd  
VCC-896        nid               12.4396125   12.7866299  dE3N    16.00    2.00   Virgo         0.079  -13.970   0.200   nd       nd         5.3     4.6   67           nd      nd      0.66    0.11    nd       nd       5.84    0.27    nd      nd      nd  
VCC-940        nid               12.4464100   12.4540470  dE1N    18.70    2.00   SBF           0.084  -16.960   0.200 -19.485   0.128      61.4     9.5   67          32.40    1.70    1.75    0.19    9.233    0.054    7.02    0.06    nd      nd      nd  
NGC4417        VCC-944           12.4473867    9.5842429  SB0     16.03    0.53   SBF           0.081  -20.000   0.200 -22.860   0.104      72.0    10.0   77         135.20    2.70    1.22    0.04   10.318    0.018    7.24    0.06    nd      nd      nd  
NGC4417        VCC-944           12.4473867    9.5842429  SB0     16.03    0.53   SBF           0.081  -20.000   0.200 -22.860   0.104      72.0    10.0   77         135.20    2.70    1.22    0.04   10.318    0.018    7.24    0.06    nd      nd      nd  
VCC-949        nid               12.4484701   10.6657846  dE4N    23.00    1.70   SBF           0.084  -16.570   0.200   nd       nd        23.1     6.9   67           nd      nd      2.98    0.22    nd       nd       6.58    0.11    nd      nd      nd  
VCC-965        nid               12.4508701   12.5605406  dE7N    16.90    1.30   Hubble        0.082  -16.370   0.200 -18.397   0.165      15.4     5.3   67          42.00    8.00    2.09    0.16    9.535    0.107    6.39    0.13    nd      nd      nd  
VCC-992        nid               12.4551879    8.2128480  dE0N    16.00    2.00   Virgo         0.062  -15.870   0.200   nd       nd         3.5     4.8   67           nd      nd      0.79    0.09    nd       nd       5.73    0.38    nd      nd      nd  
NGC4431          nid             12.4576049   12.2903069  S0      15.80    0.40   SBF           0.094  -18.200   0.200 -20.695   0.110      11.0     5.0   61          48.40    5.20    1.68    0.04    9.564    0.062    6.33    0.16    nd      nd      nd  
NGC4434        VCC-1025          12.4601861    8.1543056  E       22.48    0.78   SBF           0.074  -19.680   0.200 -22.556   0.104     141.0    34.0   77         120.20    2.90    1.42    0.05   10.281    0.021    7.51    0.09    nd      nd      nd  
NGC4435        VCC-1030          12.4612448   13.0789039  SB0     16.65    0.52   SBF           0.100  -20.400   0.200 -23.821   0.101     345.0    80.0   77         156.70    5.80    2.94    0.09   10.828    0.026    7.94    0.09    0.00    6.88    0.00
VCC-1049       UGC-7580          12.4652328    8.0904719  S0-a    16.02    0.58   SBF           0.062  -16.690   0.200 -19.492   0.174       8.4     4.5   77          28.00   15.00    nd      nd      nd       nd       6.14    0.19    nd      nd      nd  
NGC4442        VCC-1062          12.4677458    9.8036849  SB0     15.31    0.52   SBF           0.073  -20.560   0.200 -23.639   0.103     178.0    30.0   77         186.70    8.60    1.74    0.06   10.752    0.031    7.66    0.07    nd      nd      nd  
VCC-1073        nid              12.4690523   12.0932895  dE3N    16.00    2.00   Virgo         0.076  -17.540   0.200 -20.270   0.158      19.6     6.8   67          44.50    2.10    2.04    0.29    9.574    0.063    6.55    0.13    nd      nd      nd  
VCC-1077        nid              12.4695300   12.8068000  dE0N    16.00    2.00   Virgo         0.064  -12.550   0.200   nd       nd         1.8     5.3   67           nd      nd      nd      nd      nd       nd       5.35    0.60    nd      nd      nd  
NGC4449          nid             12.4697278   44.0930273  IB       4.13    0.21   TRGB          0.064  -18.560   0.240 -20.836   0.108      12.0     5.0   2            nd      nd      1.54    0.08    nd       nd       6.38    0.15    nd      nd      nd  
IC3383         VCC-1075          12.4700923   10.2977060  E       16.18    0.75   SBF           0.074  -16.780   0.200 -18.232   0.248      16.5     5.2   77          33.00    9.00    1.66    0.08    9.226    0.143    6.44    0.12    nd      nd      nd  
IC3381         VCC-1087          12.4708115   11.7898275  E       16.67    0.59   SBF           0.072  -17.790   0.200 -20.069   0.155      66.0     9.5   77          39.10    1.50    2.85    0.10    9.608    0.027    7.09    0.06    nd      nd      nd  
VCC-1105        nid              12.4742934   14.1557450  dE0N    16.00    2.00   Virgo         0.121  -15.550   0.200   nd       nd         4.8     4.0   67           nd      nd      nd      nd      nd       nd       5.85    0.26    nd      nd      nd  
VCC-1104        nid              12.4744587   12.8236608  dE1N    15.70    1.60   TRGB          0.059  -16.200   0.200   nd       nd         8.0     6.0   24           nd      nd      0.96    0.10    nd       nd       6.10    0.24    nd      nd      nd  
VCC-1107        nid              12.4750950    7.3252500  dE4N    16.00    2.00   Virgo         0.057  -16.580   0.200   nd       nd        25.3     6.5   67           nd      nd      nd      nd      nd       nd       6.62    0.10    nd      nd      nd  
NGC4452        VCC-1125          12.4786925   11.7550552  S0      15.85    1.07   GCLF          0.095  -19.120   0.200 -21.906   0.106      52.3     8.5   77         268.80   28.70    2.94    0.20   11.295    0.067    7.05    0.07    nd      nd      nd  
NGC4458        VCC-1146          12.4826502   13.2418293  E0      16.32    0.53   SBF           0.079  -19.070   0.200 -21.757   0.102      72.0    12.0   77         102.70    2.90    1.44    0.05   10.151    0.022    7.19    0.07    nd      nd      nd  
NGC4459        VCC-1154          12.4833389   13.9785556  S0      16.01    0.55   SBF           0.153  -20.810   0.200 -23.886   0.101     218.0    28.0   77         167.00    8.00    3.09    0.11   10.904    0.032    7.76    0.05    7.84    0.08    0.08
VCC-1167        nid              12.4867200    7.8787000  dE0N    16.00    2.00   Virgo         0.067  -16.000   0.200   nd       nd        14.0     9.0   24           nd      nd      1.02    0.30    nd       nd       6.33    0.22    nd      nd      nd  
NGC4464        VCC-1178          12.4892528    8.1565556  S       15.80    0.54   SBF           0.072  -18.560   0.200 -21.421   0.104      25.3     9.2   77         126.90    3.40    0.53    0.02    9.898    0.022    6.71    0.13    nd      nd      nd  
VCC-1185        nid              12.4898714   12.4506659  E       16.90    0.80   SBF           0.062  -16.770   0.200 -17.885   0.172      14.0     5.7   77           nd      nd      1.52    0.07    nd       nd       6.37    0.15    nd      nd      nd  
NGC4472        VCC-1226/M49      12.4963306    8.0003889  E2      17.03    0.21   SBF           0.074  -22.820   0.200 -25.768   0.103    7000.0   800.0   77         293.80    2.90   12.65    0.16   12.007    0.008    9.39    0.05    9.26    0.12    0.18
NGC4473        VCC-1231          12.4969066   13.4293972  E5      15.25    0.51   SBF           0.094  -20.810   0.200 -23.770   0.103     376.0    97.0   77         190.00    9.00    3.01    0.10   11.005    0.031    8.00    0.10    7.95    0.19    0.29
NGC4474        VCC-1242          12.4982081   14.0686238  S0      15.46    0.58   SBF           0.140  -19.590   0.200 -22.261   0.101     116.0    24.0   77          87.70    4.00    2.09    0.08   10.176    0.031    7.42    0.08    nd      nd      nd  
NGC4476        VCC-1250          12.4997498   12.3486308  S0      17.68    0.65   SBF           0.094  -19.140   0.200 -21.783   0.102      20.1     7.3   77          59.80    6.00    1.88    0.07    9.796    0.059    6.64    0.13    nd      nd      nd  
VCC-1252        nid              12.5005624    9.4743430  dE0N    16.00    2.00   Virgo         0.054  -12.870   0.200   nd       nd         7.6     4.9   67           nd      nd      0.58    0.06    nd       nd       5.98    0.22    nd      nd      nd  
VCC-1254        nid              12.5014329    8.0737952  dE0N    16.00    2.00   Virgo         0.061  -16.670   0.200 -19.323   0.180      26.0    11.0   24/67       31.40    1.60    0.93    0.10    8.929    0.053    6.63    0.14    nd      nd      nd  
NGC4482        VCC-1261          12.5028757   10.7795088  E       18.18    0.60   SBF           0.077  -19.640   0.200 -20.724   0.129      35.1     7.6   77          40.30    4.80    2.14    0.07    9.510    0.069    6.91    0.09    nd      nd      nd  
VCC-1272        nid              12.5044515   13.3075107  dE1N    16.00    2.00   Virgo         0.073  -13.230   0.200   nd       nd         2.9     4.0   67           nd      nd      nd      nd      nd       nd       5.57    0.38    nd      nd      nd  
NGC4478        VCC-1279          12.5049358   12.3268025  E2      17.05    0.57   SBF           0.082  -19.790   0.200 -22.812   0.101      58.0    11.0   77         137.40    2.40    1.08    0.04   10.277    0.018    7.13    0.08    nd      nd      nd  
NGC4479        VCC-1283          12.5051053   13.5775551  S0      17.40    0.59   SBF           0.098  -18.860   0.200 -21.440   0.104      58.6     9.3   77          83.30    3.70    1.94    0.07   10.097    0.030    7.09    0.06    nd      nd      nd  
NGC4486B       VCC-1297          12.5088833   12.4902222  E0      16.26    0.64   SBF           0.070  -17.770   0.200 -20.977   0.101       4.0    11.0   77         169.20    3.90    0.49    0.02   10.113    0.022    5.87    0.57    0.00    9.00    0.00
NGC4483        VCC-1303          12.5112912    9.0156507  S0-a    16.75    0.56   SBF           0.066  -18.960   0.200 -21.840   0.105      72.0    18.0   77           nd      nd      1.40    0.05    nd       nd       7.18    0.10    nd      nd      nd  
VCC-1308        nid              12.5127518   11.3432240  dE6N    16.00    2.00   Virgo         0.096  -16.590   0.200 -18.252   0.225       8.2     5.1   67          33.60    1.60    0.80    0.10    8.922    0.058    6.13    0.21    nd      nd      nd  
VCC-1311        nid              12.5131411    7.6057586  dE1N    16.00    2.00   Virgo         0.052  -16.000   0.200   nd       nd        20.0     6.0   24/67        nd      nd      nd      nd      nd       nd       6.49    0.11    nd      nd      nd  
NGC4486        VCC-1316/M87      12.5137243   12.3912170  E0      17.00    0.30   SBF           0.074  -22.610   0.200 -25.348   0.102   13000.0   800.0   77         375.00   18.00    7.30    0.12   11.980    0.029    9.65    0.03    9.77    0.03    0.03
NGC4489        VCC-1321          12.5145121   16.7587743  E       15.38    0.50   SBF           0.092  -19.030   0.200 -21.580   0.104      31.0     9.0   77          53.10    2.00    1.30    0.04    9.533    0.026    6.82    0.11    nd      nd      nd  
NGC4486A       VCC-1327          12.5160333   12.2703333  E       18.36    0.64   SBF           0.065  -18.700   0.200 -22.314   0.101      11.0    12.0   77         111.00    5.00    0.54    0.02    9.795    0.030    6.35    0.32    7.15    0.13    0.11
VCC-1333        nid              12.5169800    7.7233000  dE0N    16.00    6.00   Virgo         0.056  -14.900   0.200   nd       nd        11.0     8.0   24           nd      nd      nd      nd      nd       nd       6.19    0.24    nd      nd      nd  
IC3442         VCC-1355          12.5222750   14.1151000  E       16.94    0.70   SBF           0.094  -17.510   0.200 -16.847   0.153      10.8     5.6   77           nd      nd      3.07    0.13    nd       nd       6.29    0.18    nd      nd      nd  
NGC4494          nid             12.5233526   25.7746797  E1      17.06    0.89   SBF           0.071  -21.400   0.200 -24.170   0.103     392.0    49.0   35         150.20    3.70    4.02    0.21   10.927    0.026    8.05    0.05    nd      nd      nd  
VCC-1363        nid              12.5243049   10.9360960  dE3N    16.00    2.00   Virgo         0.088  -12.670   0.200   nd       nd         0.0     3.0   67           nd      nd      0.39    0.04    nd       nd       6.19    0.24    nd      nd      nd  
VCC-1386        nid              12.5309392   12.6566595  dE3N    16.00    2.00   Virgo         0.069  -17.340   0.200  999999   99999      26.6     7.2   67          20.50    2.10    1.80    0.19    8.848    0.072    6.67    0.10    nd      nd      nd  
VCC-1386        nid              12.5309392   12.6566595  dE3N    16.10    1.13   SBF           0.069  -16.900   0.200   nd       nd        26.0    12.0   24           nd      nd      nd      nd      nd       nd       6.64    0.16    nd      nd      nd  
IC3461         VCC-1407          12.5341003   11.8900222  E       16.76    0.55   SBF           0.085  -16.720   0.200 -18.717   0.181      49.7     8.6   77          28.60    3.10    0.92    0.03    8.845    0.063    6.91    0.07    nd      nd      nd  
IC3468         VCC-1422          12.5372808   10.2514683  E       15.40    0.53   SBF           0.087  -17.970   0.200 -20.436   0.151      24.9     6.0   77          34.40    3.80    1.51    0.05    9.221    0.064    6.67    0.09    nd      nd      nd  
IC3470         VCC-1431          12.5398239   11.2629094  E       16.11    0.57   SBF           0.148  -17.390   0.200 -19.874   0.122      60.6     9.3   77           nd      nd      0.73    0.03    nd       nd       7.03    0.06    nd      nd      nd  
IC798          VCC-1440          12.5426158   15.4154106  E       16.07    0.60   SBF           0.074  -16.860   0.200 -19.403   0.125      26.7     6.8   77           nd      nd      0.87    0.03    nd       nd       6.65    0.10    nd      nd      nd  
NGC4517          nid             12.5459661    0.1146246  Sc       9.26    0.66   TF            0.079  -19.520   0.330 -22.513   0.105     270.0    60.0   39           nd      nd      4.16    0.30    nd       nd       7.79    0.09    nd      nd      nd  
NGC4515        VCC-1475          12.5513766   16.2654979  S0      16.68    0.55   SBF           0.085  -18.790   0.200 -21.232   0.103      81.0    10.0   77          86.00    2.90    0.84    0.03    9.762    0.025    7.22    0.05    nd      nd      nd  
IC3487         VCC-1488          12.5537421    9.3972438  E/S0    16.24    1.03   SBF           0.058  -16.780   0.200 -18.834   0.173       7.3     4.2   77          28.90    1.40    0.91    0.06    8.848    0.039    6.08    0.20    nd      nd      nd  
IC3490         VCC-1489          12.5538613   10.9285504  E       18.19    1.35   SBF           0.101  -15.610   0.200   nd       nd        11.7     4.8   77           nd      nd      1.12    0.09    nd       nd       6.24    0.15    nd      nd      nd  
VCC-1497        nid              12.5551200   17.4594000  dE4N    16.00    2.00   Virgo         0.071  -16.010   0.200   nd       nd         5.8     5.4   67           nd      nd      1.50    0.15    nd       nd       5.95    0.29    nd      nd      nd  
IC3492         VCC-1499          12.5555005   12.8535563  E       16.00    2.00   Virgo         0.084  -16.530   0.200 -18.126   0.154      19.0     6.6   77           nd      nd      0.54    0.09    nd       nd       6.49    0.13    nd      nd      nd  
VCC-1512        nid              12.5596318   11.2619432  S0      18.37    0.43   SBF           0.142  -16.250   0.200   nd       nd         4.7     3.8   77           nd      nd      0.81    0.02    nd       nd       5.87    0.26    nd      nd      nd  
VCC-1514        nid              12.5604847    7.8731910  dE7N    16.00    2.00   Virgo         0.053  -16.570   0.200  999999   99999       2.1     2.9   67          46.00    7.00    2.15    0.19    9.626    0.091    5.53    0.38    nd      nd      nd  
IC3501         VCC-1528          12.5643352   13.3225267  E/S0    16.31    0.58   SBF           0.076  -17.160   0.200 -19.829   0.115      40.7     7.6   77           nd      nd      0.77    0.03    nd       nd       6.85    0.07    nd      nd      nd  
VCC-1530        nid              12.5654725    5.7185909  dE2N    16.00    2.00   Virgo         0.062  -13.370   0.200   nd       nd         7.6     4.9   67           nd      nd      nd      nd      nd       nd       5.99    0.22    nd      nd      nd  
NGC4526        VCC-1535          12.5675099    7.6992057  S0      16.90    1.63   SBF           0.074  -21.510   0.220 -24.674   0.102     388.0   117.0   77         251.10   16.10    1.96    0.48   11.061    0.101    8.06    0.11    0.00    8.48    0.00
NGC4528        VCC-1537          12.5683602   11.3212251  S0      15.79    0.50   SBF           0.151  -19.080   0.200 -22.040   0.102      31.4     7.2   77         116.80    7.10    0.79    0.03   10.001    0.038    6.83    0.09    nd      nd      nd  
VCC-1539        nid              12.5685442   12.7415603  E       17.00    0.17   SBF           0.087  -16.050   0.200   nd       nd        31.0     7.0   77           nd      nd      1.19    0.01    nd       nd       6.68    0.09    nd      nd      nd  
IC3509         VCC-1545          12.5698661   12.0489790  E       16.82    0.64   SBF           0.114  -16.910   0.200 -19.157   0.124      54.2     8.8   77           nd      nd      0.88    0.03    nd       nd       6.96    0.07    nd      nd      nd  
VCC-1577        nid              12.5773429   15.6027837  dE4     16.00    2.00   Virgo         0.077  -15.890   0.200  999999   99999      14.6     5.9   67          26.00    1.30    0.93    0.04    8.765    0.035    6.35    0.15    nd      nd      nd  
IC3540         VCC-1614          12.5908932   12.7503131  S0      15.35    1.18   Hubble        0.127  -17.100   0.200 -19.668   0.113      26.0    10.0   61           nd      nd      0.66    0.05    nd       nd       6.65    0.14    nd      nd      nd  
NGC4550        VCC-1619          12.5917858   12.2211893  SB0     15.44    0.49   SBF           0.129  -19.390   0.200 -22.265   0.102      84.0    19.0   77          96.40    4.20    1.42    0.05   10.088    0.029    7.27    0.09    nd      nd      nd  
VCC-1627        nid              12.5936793   12.3820387  E       15.63    2.07   SBF           0.107  -16.460   0.200 -19.318   0.111       3.6     3.7   77           nd      nd      0.29    0.04    nd       nd       5.76    0.31    nd      nd      nd  
NGC4551        VCC-1630          12.5938813   12.2639737  E       16.18    0.56   SBF           0.128  -19.150   0.200 -22.187   0.102      47.0    11.0   77         106.80    2.20    1.24    0.04   10.120    0.019    7.01    0.09    nd      nd      nd  
NGC4552        VCC-1632/M89      12.5944024   12.5561149  E       15.89    0.55   SBF           0.136  -20.390   0.200 -24.292   0.103    1100.0   200.0   77         252.50    3.30    3.70    0.13   11.342    0.017    8.44    0.07    8.68    0.04    0.05
NGC4565          nid             12.6057747   25.9871850  Sb      17.46    1.42   SBF           0.051  -21.680   0.270 -25.156   0.101     204.0    60.0   39         136.00    6.30    7.32    0.60   11.100    0.043    7.79    0.11    nd      nd      nd  
VCC-1661        nid              12.6068829   10.3846685  E       15.85    1.27   SBF           0.055  -15.810   0.200   nd       nd        10.2     4.7   77           nd      nd      1.52    0.12    nd       nd       6.19    0.16    nd      nd      nd  
NGC4564        VCC-1664          12.6074930   11.4393999  E       15.87    0.53   SBF           0.116  -20.000   0.200 -23.078   0.102     213.0    31.0   77         162.00    8.00    1.78    0.06   10.638    0.032    7.71    0.06    7.92    0.10    0.14
NGC4570        VCC-1692          12.6148409    7.2466966  S0      17.12    0.57   SBF           0.073  -20.340   0.200 -23.483   0.101     139.0    23.0   77         187.90    8.50    1.92    0.06   10.801    0.030    7.54    0.07    nd      nd      nd  
IC3586         VCC-1695          12.6152228   12.5200387  S0-a    16.54    0.62   SBF           0.123  -17.490   0.200 -18.975   0.129      14.4     5.7   77           nd      nd      2.17    0.08    nd       nd       6.41    0.14    nd      nd      nd  
NGC4589          nid             12.6236194   74.1918611  E2      21.98    2.34   SBF           0.093  -21.070   0.280 -23.962   0.103    1052.0   162.0   60         224.10    5.30    4.12    0.44   11.284    0.046    8.46    0.06    nd      nd      nd  
VCC-1714        nid              12.6237800   14.3134000  dE4N    16.00    2.00   Virgo         0.080  -13.200   0.200   nd       nd         0.0     4.5   67           nd      nd      nd      nd      nd       nd       6.19    0.16    nd      nd      nd  
NGC4578        VCC-1720          12.6251500    9.5551111  S0      16.35    0.54   SBF           0.070  -19.620   0.200 -22.671   0.105      62.0    13.0   77         120.30    9.60    2.46    0.08   10.519    0.048    7.15    0.08    nd      nd      nd  
IC3602         VCC-1743          12.6352499   10.0824523  E       17.65    0.78   SBF           0.055  -16.330   0.200 -18.232   0.237       9.8     6.4   77          27.00   11.00    1.79    0.08    9.084    0.198    6.19    0.22    nd      nd      nd  
IC3612         VCC-1779          12.6512929   14.7303293  S0-a    14.73    0.94   SBF           0.078  -16.900   0.200 -17.280   0.194       2.1     3.7   77           nd      nd      1.43    0.09    nd       nd       5.55    0.44    nd      nd      nd  
NGC4605          nid             12.6664972   61.6090333  SBd      5.47    0.50   TRGB          0.039  -18.410   0.200 -20.932   0.104      22.0     7.0   37           nd      nd      1.18    0.10    nd       nd       6.64    0.12    nd      nd      nd  
NGC4594        M104              12.6665134  -11.6230104  Sa       9.77    0.84   SBF           0.170  -22.120   0.200 -25.006   0.101    1900.0   200.0   86/93      240.00   12.00    3.41    0.29   11.262    0.046    8.78    0.04    8.72    0.30    0.57
IC3633         VCC-1826          12.6697924    9.8961063  E       16.24    0.66   SBF           0.047  -16.030   0.200 -17.562   0.226       4.5     3.9   77          22.30    2.20    0.60    0.02    8.443    0.059    5.84    0.27    nd      nd      nd  
IC3635         VCC-1828          12.6703765   12.8748719  Sc      16.86    0.68   SBF           0.101  -16.780   0.200 -18.402   0.158      20.4     5.8   77           nd      nd      1.55    0.06    nd       nd       6.53    0.11    nd      nd      nd  
VCC-1833        nid              12.6721322   15.9352160  E       16.24    0.56   SBF           0.102  -17.130   0.200 -19.779   0.111      18.1     5.5   77           nd      nd      0.69    0.02    nd       nd       6.49    0.12    nd      nd      nd  
IC3651          nid              12.6813645   26.7280487  S0      71.70    5.00   Hubble        0.042  -21.000   0.200 -23.850   0.109    2700.0   780.0   65         183.00   28.90    1.18    0.10   10.565    0.093    8.87    0.11    nd      nd      nd  
IC3647         VCC-1857          12.6814207   10.4761071  Irr     16.00    2.00   Virgo         0.071  -16.640   0.200   nd       nd        10.8     5.9   77           nd      nd      2.33    0.21    nd       nd       6.25    0.19    nd      nd      nd  
IC3652         VCC-1861          12.6829356   11.1844418  E       16.10    0.59   SBF           0.081  -17.600   0.200 -19.995   0.162      37.6     7.4   77           nd      nd      1.64    0.06    nd       nd       6.83    0.08    nd      nd      nd  
IC3653         VCC-1871          12.6876997   11.3872355  E       15.49    0.55   SBF           0.085  -17.310   0.200 -20.383   0.112      10.4     5.0   77          49.00    2.90    0.55    0.02    9.088    0.038    6.26    0.17    nd      nd      nd  
VCC-1876        nid              12.6890430   14.7006560  dE5N    16.00    2.00   Virgo         0.085  -16.800   0.200  999999   99999      25.9     7.4   67          26.70    1.30    1.39    0.07    8.964    0.036    6.64    0.11    nd      nd      nd  
NGC4612        VCC-1883          12.6924278    7.3148511  S0      16.53    0.53   SBF           0.069  -21.120   0.200 -22.537   0.103      83.0    25.0   77          62.60    2.70    2.30    0.07    9.924    0.029    7.36    0.11    nd      nd      nd  
VCC-1886        nid              12.6942766   12.2473845  E       15.74    1.39   SBF           0.086  -16.250   0.200   nd       nd         3.9     2.6   77           nd      nd      1.27    0.11    nd       nd       5.79    0.22    nd      nd      nd  
VCC-1895       UGC-7854          12.6977735    9.4029063  E       15.86    0.51   SBF           0.047  -16.600   0.200 -18.701   0.174       6.3     4.3   77           nd      nd      1.16    0.04    nd       nd       6.01    0.23    nd      nd      nd  
NGC4621        VCC-1903/M59      12.7006372   11.6473083  E5      14.85    0.50   SBF           0.110  -21.340   0.200 -24.125   0.103     803.0   355.0   77         225.10    3.20    4.57    0.15   11.333    0.016    8.36    0.16    8.60    0.06    0.07
IC809          VCC-1910          12.7024073   11.7543196  E       16.05    0.55   SBF           0.083  -17.390   0.200 -20.429   0.130      48.7     8.4   77           nd      nd      1.97    0.07    nd       nd       6.94    0.07    nd      nd      nd  
NGC4623        VCC-1913          12.7029778    7.6769243  SB0     17.31    0.58   SBF           0.061  -19.940   0.200 -21.732   0.107      71.0    14.0   77          85.60   15.10    2.16    0.07   10.169    0.097    7.23    0.08    nd      nd      nd  
NGC4638        VCC-1938          12.7131750   11.4424444  S0      17.40    0.56   SBF           0.084  -20.100   0.200 -23.003   0.102      59.8     9.2   90         121.90    4.00    1.71    0.05   10.374    0.024    7.16    0.06    nd      nd      nd  
NGC4636          nid             12.7137983    2.6876184  E0      14.66    0.90   SBF           0.092  -21.430   0.200 -24.419   0.106    4200.0   120.0   23         203.10    3.50    6.71    0.41   11.411    0.028    9.09    0.01    0.00    8.80    0.00
